Product_ID,Item_Weight,Item_Type,Item_MRP,Packaging_Type,Packaging_Weight_kg,Supplier_Location,Warehouse_Location,Distance_km,Transport_Mode,Production_Emission_Factor,Packaging_Emission_Factor,Delivery_Emission_Factor,Product_Emissions,Packaging_Emissions,Delivery_Emissions,Total_Emissions
FDA15,9.3,Dairy,249.8092,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,26.04,0.081,45,71.121
DRC01,5.92,Soft Drinks,48.2692,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,8.88,0.135,6,15.015
FDN15,17.5,Meat,141.618,Plastic Tray + Wrap,0.04,Haryana,Delhi,80,Refrigerated Truck,27,2.7,0.15,472.5,0.108,12,484.608
FDX07,19.2,Fruits and Vegetables,182.095,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,13.44,0.027,30,43.467
NCD19,8.93,Household,53.8614,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,35.72,0.135,18,53.855
FDP36,10.395,Baking Goods,51.4008,Plastic Bag/Paper Pouch,0.02,Karnataka,Bangalore,50,Truck,2,2.7,0.12,20.79,0.054,6,26.844
FDO10,13.65,Snack Foods,57.6588,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,34.125,0.054,6,40.179
FDP10,,Snack Foods,107.7622,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,0,0.054,6,6.054
FDH17,16.2,Frozen Foods,96.9726,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,48.6,0.081,52.5,101.181
FDU28,19.2,Frozen Foods,187.8214,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,57.6,0.081,52.5,110.181
FDY07,11.8,Fruits and Vegetables,45.5402,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,8.26,0.027,30,38.287
FDA03,18.5,Dairy,144.1102,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,51.8,0.081,45,96.881
FDX32,15.1,Fruits and Vegetables,145.4786,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,10.57,0.027,30,40.597
FDS46,17.6,Snack Foods,119.6782,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,44,0.054,6,50.054
FDF32,16.35,Fruits and Vegetables,196.4426,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,11.445,0.027,30,41.472
FDP49,9,Breakfast,56.3614,Plastic Pouch/Box,0.02,Karnataka,Bangalore,50,Truck,1.8,2.7,0.12,16.2,0.054,6,22.254
NCB42,11.8,Health and Hygiene,115.3492,Plastic Bottle/Paper Box,0.03,Gujarat,Mumbai,450,Train,3,2.7,0.04,35.4,0.081,18,53.481
FDP49,9,Breakfast,54.3614,Plastic Pouch/Box,0.02,Karnataka,Bangalore,50,Truck,1.8,2.7,0.12,16.2,0.054,6,22.254
DRI11,,Hard Drinks,113.2834,Glass Bottle,0.2,Goa,Mumbai,600,Train,2,0.85,0.04,0,0.17,24,24.17
FDU02,13.35,Dairy,230.5352,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,37.38,0.081,45,82.461
FDN22,18.85,Snack Foods,250.8724,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,47.125,0.054,6,53.179
FDW12,,Baking Goods,144.5444,Plastic Bag/Paper Pouch,0.02,Karnataka,Bangalore,50,Truck,2,2.7,0.12,0,0.054,6,6.054
NCB30,14.6,Household,196.5084,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,58.4,0.135,18,76.535
FDC37,,Baking Goods,107.6938,Plastic Bag/Paper Pouch,0.02,Karnataka,Bangalore,50,Truck,2,2.7,0.12,0,0.054,6,6.054
FDR28,13.85,Frozen Foods,165.021,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,41.55,0.081,52.5,94.131
NCD06,13,Household,45.906,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,52,0.135,18,70.135
FDV10,7.645,Snack Foods,42.3112,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,19.1125,0.054,6,25.1665
DRJ59,11.65,Hard Drinks,39.1164,Glass Bottle,0.2,Goa,Mumbai,600,Train,2,0.85,0.04,23.3,0.17,24,47.47
FDE51,5.925,Dairy,45.5086,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,16.59,0.081,45,61.671
FDC14,,Canned,43.6454,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,0,0.41,6,6.41
FDV38,19.25,Dairy,55.7956,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,53.9,0.081,45,98.981
NCS17,18.6,Health and Hygiene,96.4436,Plastic Bottle/Paper Box,0.03,Gujarat,Mumbai,450,Train,3,2.7,0.04,55.8,0.081,18,73.881
FDP33,18.7,Snack Foods,256.6672,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,46.75,0.054,6,52.804
FDO23,17.85,Breads,93.1436,Plastic Bag/Paper Pouch,0.02,Haryana,Delhi,80,Truck,1.2,2.7,0.12,21.42,0.054,9.6,31.074
DRH01,17.5,Soft Drinks,174.8738,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,26.25,0.135,6,32.385
NCX29,10,Health and Hygiene,146.7102,Plastic Bottle/Paper Box,0.03,Gujarat,Mumbai,450,Train,3,2.7,0.04,30,0.081,18,48.081
FDV20,,Fruits and Vegetables,128.0678,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,0,0.027,30,30.027
DRZ11,8.85,Soft Drinks,122.5388,Plastic Bottle/Glass,0.05,Maharashtra,Mumbai,50,Truck,1.5,2.7,0.12,13.275,0.135,6,19.41
FDX10,,Snack Foods,36.9874,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,0,0.054,6,6.054
FDB34,,Snack Foods,87.6198,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,0,0.054,6,6.054
FDU02,13.35,Dairy,230.6352,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,37.38,0.081,45,82.461
FDK43,9.8,Meat,126.002,Plastic Tray + Wrap,0.04,Haryana,Delhi,80,Refrigerated Truck,27,2.7,0.15,264.6,0.108,12,276.708
FDA46,13.6,Snack Foods,192.9136,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,34,0.054,6,40.054
FDC02,21.35,Canned,259.9278,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,128.1,0.41,6,134.51
FDL50,12.15,Canned,126.5046,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,72.9,0.41,6,79.31
FDM39,6.42,Dairy,178.1002,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,17.976,0.081,45,63.057
NCP05,19.6,Health and Hygiene,153.3024,Plastic Bottle/Paper Box,0.03,Gujarat,Mumbai,450,Train,3,2.7,0.04,58.8,0.081,18,76.881
FDV49,10,Canned,265.2226,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,60,0.41,6,66.41
FDL12,15.85,Baking Goods,60.622,Plastic Bag/Paper Pouch,0.02,Karnataka,Bangalore,50,Truck,2,2.7,0.12,31.7,0.054,6,37.754
FDS02,,Dairy,196.8794,Plastic Pouch/Tetra Pack,0.03,Punjab,Delhi,300,Refrigerated Truck,2.8,2.7,0.15,0,0.081,45,45.081
NCL17,7.39,Health and Hygiene,143.8812,Plastic Bottle/Paper Box,0.03,Gujarat,Mumbai,450,Train,3,2.7,0.04,22.17,0.081,18,40.251
FDM40,10.195,Frozen Foods,141.5154,Plastic Bag/Cardboard,0.03,Tamil Nadu,Bangalore,350,Refrigerated Truck,3,2.7,0.15,30.585,0.081,52.5,83.166
FDR13,9.895,Canned,117.0492,Metal Can (Al/Steel),0.05,Maharashtra,Mumbai,50,Truck,6,8.2,0.12,59.37,0.41,6,65.78
FDA43,10.895,Fruits and Vegetables,196.3794,Minimal Plastic Bag,0.01,Uttar Pradesh,Delhi,250,Truck,0.7,2.7,0.12,7.6265,0.027,30,37.6535
NCP18,12.15,Household,151.4708,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,48.6,0.135,18,66.735
FDK21,7.905,Snack Foods,249.0408,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,19.7625,0.054,6,25.8165
NCX54,9.195,Household,106.1622,Plastic Bottle/Paper,0.05,Gujarat,Mumbai,450,Train,4,2.7,0.04,36.78,0.135,18,54.915
DRK35,8.365,Hard Drinks,38.0506,Glass Bottle,0.2,Goa,Mumbai,600,Train,2,0.85,0.04,16.73,0.17,24,40.9
FDY21,15.1,Snack Foods,194.511,Plastic Pouch,0.02,Maharashtra,Mumbai,50,Truck,2.5,2.7,0.12,37.75,0.054,6,43.804
